issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude
I001,국가 AI 인프라/AIDC/GPU 정책,AI 인프라 및 정책,GOV_AI_DIGITAL_POLICY,경쟁사_해외이슈,STRATEGIC_REFERENCE,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,domestic,371.5,4,4,5,5,1933,"1933,313,261,1866,2707","KT, 금융 고객 대상 AX 세미나 개최…안정성·보안성 강화된 인프라 전략 소개 | [AI 3강의 꿈, 중간성적표]①AIDC특별법·GPU 확보 긍정적…부처간 협업은 '지지부진' | [AI 3강의 꿈, 중간성적표]①AIDC특별법·GPU 확보 긍정적…부처간 협업은 '지지부진' | SKT, 앤트로픽 사이버보안 프로젝트 합류…AI 보안 역량 강화 | 가온전선, 미국 AI 데이터센터 전력망 케이블 첫 공급… 전력 인프라 시장 전방위 공략",더퍼블릭 | v.daum.net | 네이트 | 마이데일리 | 기계신문,"카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈 / AIDC 특별법 및 GPU 확보는 AI 연구 개발 및 서비스 확장에 필수적인 인프라이므로, 카카오의 AI 사업 전략 및 투자 계획 수립에 참고할 만한 정보임. 부처 간 협력 지연은 정책 추진 속도에 영향을 줄 수 있으므로, 정부의 AI 정책 동향을 주시할 필요가 있음. / SKT가 앤트로픽과의 사이버보안 프로젝트에 참여하는 것은 AI 기술을 활용한 보안 강화 노력의 일환으로, 카카오의 AI 기반 보안 솔루션 개발 및 협력 방안 모색에 참고할 만하다. / 미국 AI 데이터센터에 전력망 케이블을 공급하",로컬 보조 라벨 / AI 경쟁력 강화를 위한 정부 정책 및 인프라 구축 현황은 카카오의 AI 사업 전략에 직접적인 영향을 미치므로 관련성이 높음. / AI 경쟁력 강화를 위한 정부 정책 및 인프라 구축 현황은 카카오의 AI 사업 전략에 직접적인 영향을 미치므로 관련성이 높음. id 313과 동일한 기사이므로 통합하여 처리. / AI 기술을 활용한 사이버 보안 강화 사례는 카카오의 보안 전략 수립에 시사점을 제공한다. / AI 인프라 구축 동향을 파악할 수 있는 중요 산업 동향 기사임.,False,False
I002,카카오게임즈 최대주주 변경 및 공동대표 체제,경영권/인선,SELF_DIRECT_RISK,자사_및_계열사_이슈,DIRECT_RISK,,COMP_DOMESTIC_STRATEGY,other,366.0,5,5,5,41,89,"89,119,97,70,59,118,92,158,130,49","카카오게임즈 대표 교체…이시우·김태환 공동대표로 전환 | 카카오게임즈, 22일 임시주총…공동대표 전환 시동 | 카카오게임즈, 김태환·이시우 공동대표 체제로 전환한다 | 카카오게임즈, 22일 임시주총…김태환·이시우 공동대표 체제 검토 | 카카오게임즈, 22일 임시주총…공동대표 전환 시동",v.daum.net | SBSBiz | v.daum.net | 디일렉 | v.daum.net,"카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈 / 카카오게임즈의 사내이사 후보로 라인게임즈 출신 인사가 추천되었다는 소식임. / 카카오게임즈의 경영진 구성 변화에 대한 정보로, 직접적인 영향은 제한적임. / 카카오게임즈의 경영진 개편 소식은 자사 내부의 조직 및 인력 변화를 파악하는 데 도움이 되며, 라인게임즈와의 인사 교류는 전략적 제휴의 가능성을 시사한다. / 라인야후에 인수되는 카카오게임즈가 22일 임시 주주총회를 열고 이사를 신규 선임할 예정임. / 최대주주 변경을 앞둔 카카오게임즈가 라인게임즈 출신 사내이사를 선임할 것으로 보임. / 카카오게임즈가","로컬 보조 라벨 / 낮은 중요도의 경영진 인선 소식으로, 외부 이슈가 아니며 직접적인 리스크나 전략적 시사점은 적음. / 카카오게임즈의 경영진 개편은 낮은 우선순위의 자사 소식이지만, 라인게임즈와의 연관성은 전략적 참고 자료로 활용될 수 있다. / 카카오게임즈의 임시 주총 및 이사 선임은 직접적인 내부 이슈임. / 카카오게임즈의 최대주주 변경과 연계된 이사 선임은 직접적인 내부 이슈임. / 카카오게임즈의 경영진 교체 이슈는 직접적인 내부 리스크임. / 카카오게임즈의 공동대표 선임은 경영진 인사가 필요한 직접적인 내부 이슈임. / 카카오게임즈의 경영진 개편은 직접적인 경영권 및 조직 개편 이슈로, 카카오 그룹 차원의 유사 사례 발생 가능성",False,False
I003,self_governance_mna:20 지분 규제 대비했나 코인원 한투 okx 끌어들여 지배구조 재편,self_governance_mna,SELF_DIRECT_RISK,자사_및_계열사_이슈,DIRECT_RISK,GOV_DIGITAL_FINANCE_POLICY,,other,365.5,5,5,5,1,2902,2902,"'20% 지분 규제' 대비했나…코인원, 한투·OKX 끌어들여 지배구조 재편",v.daum.net,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,로컬 보조 라벨,False,False
I004,가상자산 이전거래/AML 규제 조정,가상자산 규제 완화,GOV_FINANCIAL_DIGITAL_POLICY,정부_국회,DIRECT_RISK,GOV_DIGITAL_FINANCE_POLICY,COMP_DOMESTIC_DIRECT_RISK,other,356.0,4,5,4,31,2838,"2838,837,889,2804,2805,2888,2803,2824,2826,772","""보이스피싱 자금세탁 막는다""…경찰청·가상자산사업자 상시 공조체계 구축 | FIU, 가상자산 거래소 대표들과 '특금법 시행령 개정안' 논의 | 금융당국, 가상자산 해외 거래 규제 완화… 사업자 자금세탁방지 책임 강화 | 1천만원 이상 가상자산 이전거래, 의무보고→각사관리 완화키로 | FIU “1000만원 이상 가상자산 해외 이전거래 이무보고→자율 관리로”",폴리스TV | 네이트 | tokenpost.kr | 연합뉴스 | 이데일리,"카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈 / 카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책 / FIU(금융정보분석원)가 1천만원 이상 가상자산 이전 거래에 대한 보고 의무를 거래소 자체 관리 체계 마련으로 결정함에 따라, 카카오가 운영하는 가상자산 관련 서비스의 리스크 관리 방안 재검토가 필요함. / FIU(금융정보분석원)가 1천만원 이상 가상자산 이전 거래에 대한 의무 보고를 각 사 자체 리스크 관리로 전환함에 따라, 카카오가 운영하는 가상자산 관련 서비스(가상자산 거래소, 지갑 등)의 규제 준수 및 리스크 관리","로컬 보조 라벨 / 가상자산 이전 거래 보고 의무 완화는 카카오의 디지털 금융 사업 관련 규제 환경 변화를 보여주므로 관련성이 있음. id 1547, 2809, 2877, 1555, 772, 751, 2843, 2846, 2827, 2810, 2815, 2825, 2859, 2812, 2831, 2828, 2841, 2816 등 유사 기사들과 동일한 이슈로 묶어 처리. / 가상자산 이전 거래 보고 의무 완화는 카카오의 디지털 금융 사업 관련 규제 환경 변화를 보여주므로 관련성이 있음. / 카카오가 직접적인 가상자산 거래소가 아니더라도, 향후 금융 서비스 확장 시 참고할 수 있는 정부 및 사업자 간 협력 모델임. / 가상자산 피싱 방지 관",False,False
I005,global_incident:platform_regulation:google:platform_regulation,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,GOV_AI_CORE_POLICY,COMP_OVERSEAS_PLATFORM_AI,overseas,340.5,5,4,5,1,1620,1620,AI 딥페이크 보이스피싱… 구글은 다 탐지 가능하다?,AI타임스,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,로컬 보조 라벨,False,False
I006,금융권 AI 도입 가이드라인/모범사례,AI 도입 논의,GOV_AI_DIGITAL_POLICY,정부_국회,,GOV_AI_CORE_POLICY,,other,334.0,5,4,5,4,782,"782,625,777,745","금융위 안창국 상임위원, 금융안정위 총회…AI도입 등 논의 | 금융위 안창국 상임위원, 금융안정위 총회…AI도입 등 논의 | 안창국 금융위 상임위원, 금융안정위 총회 참석…AI 도입 등 논의 | 안창국 금융위 상임위원, FSB 런던 총회서 AI 도입 등 논의",네이트 | 연합뉴스 | 헤럴드경제 | SBSBiz,"카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경 / 금융안정위에서 AI 도입을 논의하는 것은 금융 산업 전반의 AI 기술 적용 확대 추세를 보여주며, 카카오의 AI 기술이 금융 부문에 접목될 가능성을 시사함.","로컬 보조 라벨 / 금융 산업에서의 AI 도입 논의는 카카오의 AI 기술 활용 및 사업 확장에 중요한 시사점을 제공함. / 625번 기사와 동일한 이슈로, 금융 산업에서의 AI 도입 논의는 카카오의 AI 기술 활용 및 사업 확장에 중요한 시사점을 제공함. / 625번, 777번 기사와 동일한 이슈로, 금융 산업에서의 AI 도입 논의는 카카오의 AI 기술 활용 및 사업 확장에 중요한 시사점을 제공함.",False,False
I007,government_ai_core_policy:안창국 금융위 상임위원 fsb 총회 참석 ai 금융규제 현대화 논의,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,정부_국회,,GOV_AI_CORE_POLICY,,other,329.5,5,4,5,1,769,769,"안창국 금융위 상임위원, FSB 총회 참석…AI·금융규제 현대화 논의",네이트,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경,로컬 보조 라벨,False,False
I008,네이버페이 앱 장애/복구,서비스_장애,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_DIRECT_RISK,domestic,323.25,4,4,5,5,1701,"1701,1739,1729,1754,1769","네이버페이, 안드로이드 기기 호환성 오류 긴급 복구 완료… ""앱 업데이트 필요"" | 네이버페이, 5시간째 일부 안드로이드 단말기 페이앱 '먹통' | 네이버페이 안드로이드서 페이앱 먹통… 업데이트 후 이용 권장 | 네이버페이 안드로이드 페이앱 장애 복구…5시간여 만에 정상화 | 네이버페이 안드로이드 페이앱 장애 복구…5시간여 만에 정상화",이데일리 | 이데일리 | 뉴스클레임 | 네이트 | 알파경제,"카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈 / 네이버페이 안드로이드 앱의 장시간 장애는 결제 서비스의 안정성 확보가 얼마나 중요한지를 보여주며, 카카오페이 등 유사 서비스의 장애 대응 및 예방 시스템 점검의 필요성을 제기한다.","로컬 보조 라벨 / 네이버페이 앱 장애는 카카오페이와 같은 결제 서비스 제공업체에 대한 안정성 관리의 중요성을 강조하며, 카카오의 장애 대응 및 예방 시스템 점검에 필요한 참고 자료가 된다.",False,False
I009,KAIST 인간형 조종사 로봇 기술,AI 기술,GOV_AI_DIGITAL_POLICY,산업동향,,GOV_AI_CORE_POLICY,,other,314.5,5,4,5,1,2743,2743,"KAIST 인간형 조종사 로봇 기반 기술, '최우수 논문' 선정",네이트,KAIST의 인간형 조종사 로봇 기반 기술이 '최우수 논문'으로 선정되었다는 소식임. 로봇 및 AI 기술 발전을 보여줌.,"학술 연구 성과 관련 기사로, 카카오와의 직접적인 연관성이나 즉각적인 영향은 미미함.",False,False
I010,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,government_regulatory_enforcement,GOV_PLATFORM_REGULATION,정부_국회,,GOV_REGULATORY_ENFORCEMENT,,other,312.5,4,5,4,3,1138,"1138,2881,1464","디지털자산기본법 입법 지연 불구 금융사들 선점 나선 이유는 | 엠블록 | 경찰청·5대 거래소 협약…보이스피싱 수익 가상자산 세탁 막는다 | 글로벌 가상자산거래소 OKX, 코인원 지분 인수···한투 손잡고 韓진출",매일경제 | 문화일보 | 글로벌E,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈 / 카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,로컬 보조 라벨,False,False
