"date","issue_id","issue_group","issue_family","category","priority","top_title","top_url","selected","issue_hash","event_key","max_todayness","article_forms","source_version"
"2026.6.5","I001","국가 AI 인프라/AIDC/GPU 정책","AI 인프라 및 정책","경쟁사_해외이슈","4.0","","","True","국가 ai 인프라 aidc gpu 정책","","","",""
"2026.6.5","I002","카카오게임즈 최대주주 변경 및 공동대표 체제","경영권/인선","자사_및_계열사_이슈","5.0","","","True","카카오게임즈 최대주주 변경 및 공동대표 체제","","","",""
"2026.6.5","I004","가상자산 이전거래/AML 규제 조정","가상자산 규제 완화","정부_국회","5.0","","","True","가상자산 이전거래 aml 규제 조정","","","",""
"2026.6.5","I006","금융권 AI 도입 가이드라인/모범사례","AI 도입 논의","정부_국회","5.0","","","True","금융권 ai 도입 가이드라인 모범사례","","","",""
"2026.6.5","I008","네이버페이 앱 장애/복구","서비스_장애","경쟁사_해외이슈","4.0","","","True","네이버페이 앱 장애 복구","","","",""
"2026.6.5","I015","네이버_AI_검색_기능_확대","AI_검색_및_창작자_지원","경쟁사_해외이슈","4.0","","","True","네이버 ai 검색 기능 확대","","","",""
"2026.6.5","I016","플랫폼 불법촬영 이미지 차단 의무 확대","유통방지_조치","정부_국회","4.0","","","True","플랫폼 불법촬영 이미지 차단 의무 확대","","","",""
"2026.6.5","I017","쿠팡페이 제재 절차 돌입","전자금융 규제 및 제재","자사_및_계열사_이슈","2.0","","","True","쿠팡페이 제재 절차 돌입","","","",""
"2026.6.5","I029","애플_앱스토어_AI_탑재_앱_현황","AI_앱_및_결제","경쟁사_해외이슈","4.0","","","True","애플 앱스토어 ai 탑재 앱 현황","","","",""
"2026.6.5","I030","카톡 선물하기 내 스타벅스 교환권/소비 변화","카카오톡 선물하기","자사_및_계열사_이슈","3.0","","","True","카톡 선물하기 내 스타벅스 교환권 소비 변화","","","",""
"2026.6.5","I031","AI 에이전트와 IT 인프라","AI_에이전트_전략","산업동향","2.0","","","True","ai 에이전트와 it 인프라","","","",""
"2026.6.5","I044","AI 가상모델 표시 의무화","AI 윤리 및 규제","정부_국회","2.0","","","True","ai 가상모델 표시 의무화","","","",""
"2026.6.5","I060","카카오-구글 딥마인드 AI 콘텐츠 워터마크 도입","AI_기술_협력","자사_및_계열사_이슈","2.0","","","True","카카오 구글 딥마인드 ai 콘텐츠 워터마크 도입","","","",""
"2026.6.8","I001","국가 AI 인프라/AIDC/GPU 정책","AI 인프라","경쟁사_해외이슈","4.0","","","True","국가 ai 인프라 aidc gpu 정책","","","",""
"2026.6.8","I003","네이버 AI 투자 확대 및 수익성 시험대","네이버 AI 전략","경쟁사_해외이슈","5.0","","","True","네이버 ai 투자 확대 및 수익성 시험대","","","",""
"2026.6.8","I014","CU편의점·티빙 등 해킹","개인정보보호","경쟁사_해외이슈","2.0","","","True","cu편의점 티빙 등 해킹","","","",""
"2026.6.8","I020","챗GPT의 슈퍼앱 전략 및 오픈AI 한국 전략","AI 슈퍼앱","자사_및_계열사_이슈","2.0","","","True","챗gpt의 슈퍼앱 전략 및 오픈ai 한국 전략","","","",""
"2026.6.8","I031","국가정보보호백서, AI 기반 해킹 시대 도래","국가 정보보호","경쟁사_해외이슈","5.0","","","True","국가정보보호백서 ai 기반 해킹 시대 도래","","","",""
"2026.6.8","I040","카카오뱅크 퇴직연금 시장 진입","금융 서비스","자사_및_계열사_이슈","3.0","","","True","카카오뱅크 퇴직연금 시장 진입","","","",""
"2026.6.8","I044","방심위, 청소년 노출 성인 웹툰 광고 제재","방송통신위원회 제재","정부_국회","4.0","","","True","방심위 청소년 노출 성인 웹툰 광고 제재","","","",""
"2026.6.8","I046","미국 정부, AI 기업 지분 보유 검토 (오픈AI 논의)","AI_정부정책_해외","경쟁사_해외이슈","1.0","","","True","미국 정부 ai 기업 지분 보유 검토 오픈ai 논의","","","",""
"2026.6.8","I047","카카오 노조 임단협/파업 및 내부 갈등","노조 파업","자사_및_계열사_이슈","1.0","","","True","카카오 노조 임단협 파업 및 내부 갈등","","","",""
"2026.6.8","I081","AI 서버 전력 소비 규제","AI 에너지 소비","정부_국회","1.0","","","True","ai 서버 전력 소비 규제","","","",""
"2026.6.8","I085","디지털자산기본법 제정 지연","디지털자산기본법","정부_국회","1.0","","","True","디지털자산기본법 제정 지연","","","",""
"2026.6.8","I092","AI 기반 에너지 이슈 분석·정보 검증 협력","AI 에너지 이슈","산업동향","1.0","","","True","ai 기반 에너지 분석 정보 검증 협력","","","",""
"2026.6.8","I096","새만금 AI·수소도시 추진","AI 수소도시","산업동향","1.0","","","True","새만금 ai 수소도시 추진","","","",""
"2026.6.9","I002","국가 AI 인프라/AIDC/GPU 정책","government_ai_core_policy","경쟁사_해외이슈","5.0","","","True","국가 ai 인프라 aidc gpu 정책","","","",""
"2026.6.9","I003","global_incident:platform_regulation:naver:platform_content_moderation_obligation","comp_domestic_direct_risk","경쟁사_해외이슈","4.0","","","True","global incident platform regulation naver platform content moderation obligation","","","",""
"2026.6.9","I004","global_incident:platform_regulation:platform_sector:platform_regulation","government_regulatory_enforcement","정부_국회","5.0","","","True","global incident platform regulation platform sector platform regulation","","","",""
"2026.6.9","I005","티빙·CU 개인정보 유출, 쿠팡 제재 수위 주목","개인정보 유출","정부_국회","1.0","","","True","티빙 cu 개인정보 유출 쿠팡 제재 수위 주목","","","",""
"2026.6.9","I018","배민 1:1 맞춤 컨설팅 효과","플랫폼 사업자 성장 지원","경쟁사_해외이슈","3.0","","","True","배민 1 1 맞춤 컨설팅 효과","","","",""
"2026.6.9","I030","K-로봇, 피지컬 AI 시대 글로벌 격전지 부상","AI 기술","산업동향","2.0","","","True","k 로봇 피지컬 ai 시대 글로벌 격전지 부상","","","",""
"2026.6.9","I036","중국, 온라인 제품평가 규제 강화","플랫폼 규제_표시/광고","정부_국회","2.0","","","True","중국 온라인 제품평가 규제 강화","","","",""
"2026.6.9","I041","스테이블코인 감독권 갈등에 막힌 '디지털 자산 기본법'","디지털 자산/스테이블코인 규제","정부_국회","2.0","","","True","스테이블코인 감독권 갈등에 막힌 디지털 자산 기본법","","","",""
"2026.6.9","I043","카카오 노조 임단협/파업 및 내부 갈등","노사갈등","자사_및_계열사_이슈","3.0","","","True","카카오 노조 임단협 파업 및 내부 갈등","","","",""
"2026.6.9","I049","카카오 준신위, AI 기본법 대응 워크숍 개최","AI 법제화","자사_및_계열사_이슈","2.0","","","True","카카오 준신위 ai 기본법 대응 워크숍 개최","","","",""
"2026.6.9","I053","애큐온캐피탈 인수전 및 카카오뱅크 진출","인수합병","자사_및_계열사_이슈","2.0","","","True","애큐온캐피탈 인수전 및 카카오뱅크 진출","","","",""
"2026.6.9","I074","오픈AI IPO 추진","오픈AI","경쟁사_해외이슈","2.0","","","True","오픈ai ipo 추진","","","",""
"2026.6.9","I077","카카오 실적 대비 주가 부진","카카오톡_경영/실적","자사_및_계열사_이슈","1.0","","","True","카카오 실적 대비 주가 부진","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"2026-06-10","I001","카카오 노조 임단협/파업 및 내부 갈등","카카오 노조 파업","자사_및_계열사_이슈","5.0","","","True","카카오 노조 임단협 파업 및 내부 갈등","global_incident:labor_ir:kakao:strike_negotiation","59.0","direct_risk","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I002","global_incident:platform_regulation:coupang:platform_data_protection_obligation","government_platform_regulation","정부_국회","5.0","","","True","global incident platform regulation coupang platform data protection obligation","privacy_security:coupang:data_leak","42.0","official_action","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I003","global_incident:ai_security_policy:naver:anthropic_glasswing_security","comp_domestic_ai_platform","경쟁사_해외이슈","4.0","","","True","global incident ai security policy naver anthropic glasswing security","global_incident:ai_security_policy:naver:anthropic_glasswing_security","24.0","direct_risk","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I004","국가 AI 인프라/AIDC/GPU 정책","AI 플랫폼","정부_국회","3.0","","","True","국가 ai 인프라 aidc gpu 정책","global_incident:ai_security_policy:toss:anthropic_glasswing_security","24.0","business_change,direct_risk,general","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I007","global_incident:platform_regulation:platform_sector:platform_regulation","government_general_policy","정부_국회","3.0","","","True","global incident platform regulation platform sector platform regulation","global_incident:platform_regulation:platform_sector:platform_regulation","24.0","business_change,general","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I008","AI 기반 옵저버빌리티 전략","AI 기반 IT 운영","산업동향","3.0","","","True","ai 기반 옵저버빌리티 전략","","24.0","business_change","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I009","산업용 사이버보안 솔루션 출시","산업용 사이버보안","산업동향","3.0","","","True","산업용 사이버보안 솔루션 출시","global_incident:ai_security_policy:sector:ai_security_policy","24.0","direct_risk","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I010","SAP PCE·VDI 모니터링 시장 공략","AI 기반 IT 운영","산업동향","3.0","","","True","sap pce vdi 모니터링 시장 공략","","24.0","general","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I011","대학교 AI 혁신 계획","AI 혁신","산업동향","3.0","","","True","대학교 ai 혁신 계획","","24.0","business_change","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I031","알리바바 인터내셔널, 구글 광고 연동 통한 AI 마케팅 강화","AI 마케팅 연동","경쟁사_해외이슈","2.0","","","True","알리바바 인터내셔널 구글 광고 연동 통한 ai 마케팅 강화","global_incident:platform_regulation:google:platform_algorithm_ad_obligation","14.0","business_change","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I047","과기정통부·방미통위 AI·미디어 정책 협의","AI 정책 공조","정부_국회","1.0","","","True","과기정통부 방미통위 ai 미디어 정책 협의","event:과기정통부+방미통위:ai_infrastructure_security+policy_legislation","24.0","business_change","google_rss_v26_2_generic_profile_gov_industry_pivot"
"2026-06-10","I059","카카오게임즈 최대주주 변경 및 공동대표 체제","경영권/인수","자사_및_계열사_이슈","1.0","","","True","카카오게임즈 최대주주 변경 및 공동대표 체제","global_incident:leadership_service:kakao:leadership_service","24.0","analysis_with_direct_risk","google_rss_v26_2_generic_profile_gov_industry_pivot"
