issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude,v26_max_todayness,v26_article_forms,v26_event_key,v26_2_roundup,v26_2_gov_ok,v26_2_gov_reason,v26_2_market_stock,v26_2_industry_structural,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score
I001,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,OFF_TOPIC,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,domestic,711.0,5,5,5,35,168,"168,1127,2433,2414,2372,2419,2375,2434,2410,2385","카카오-KT cloud, AI 보안 툴 통합·관리 플랫폼 공동 구축 | 금융감독원 ‘AI 사령탑’ 신설…GPU 인프라 확보 나서나 | KT, 통신 본업에 AI 성장 더한다…1GW 데이터센터 확장 기대-NH | KT, 글로벌 AI 무대서 책임 있는 AI 표준 협력 논의 | SKT, T 월드에 AI 전면 도입…매장 검색·상담 서비스 개선",MSN | 아시아투데이 | 이데일리 | 뉴시스 | 파이낸셜뉴스,"카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈 / 카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경 / 카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈 / 카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v40: 직접 리스크는 아니지만 자사 사업 확장·,False,False,24.0,"business_change,direct_risk",global_incident:platform_regulation:kakao:platform_regulation,False,True,public_actor_official_action,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I002,global_incident:platform_regulation:naver:platform_content_moderation_obligation,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_STRATEGY,mixed,701.5,5,5,5,5,2093,"2093,716,768,2215,2100","정부, 네이버·구글 등 8곳 '허위조작정보 대응' 의무 플랫폼 지정 | 방미통위 ""네이버·구글 등 8곳 허위조작정보 대응 의무 사업자"" | 방미통위, 허위조작정보법 적용 대상 8개 플랫폼 지정…네이버·구글·X 포함 | 보안 투자 늘린 아모레퍼시픽…외부 공격 대응 강화 | 네이버·구글 등 8개 플랫폼, 허위조작정보 대응 의무 적용",내외뉴스통신 | mbn.co.kr | 매일일보 | 네이버 프리미엄콘텐츠 | 뉴스토마토,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김 / 카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈 / 카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,24.0,"direct_risk,general",global_incident:platform_regulation:naver:platform_content_moderation_obligation,False,True,platform_obligation,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I003,comp_domestic_ai_platform:주가 누른 네이버 데이터센터 완공 땐 13조 가치,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,666.5,4,4,5,1,2125,2125,주가 누른 네이버 데이터센터… “완공 땐 13조 가치”,디지털포스트(PC사랑),카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,24.0,market_commentary,event:네이버:ai_infrastructure_security+financial_performance,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I004,global_incident:platform_regulation:kakao:platform_content_moderation_obligation,platform_obligation,SELF_AFFILIATE_BUSINESS,경쟁사_해외이슈,OFF_TOPIC,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_STRATEGY,mixed,650.5,4,5,5,3,711,"711,2197,421","방미통위, 허위조작정보 대응 의무 사업자로 네이버·카카오·구글·메타 포함 8곳 지정 | 네이버·카카오·구글 등 8개 플랫폼, 허위조작정보 대응 의무 적용 | 네이버·카카오·구글 등 8곳 정통망법 대상… 전체공개 게시물에 자율규제 적용",비즈니스포스트 | 법치뉴스 | IT조선,"카카오 포함 플랫폼 사업자의 준수 의무·정책 대응 이슈 / 카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈 / 카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",로컬 보조 라벨 / v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,False,False,14.0,general,global_incident:platform_regulation:kakao:platform_content_moderation_obligation,False,True,platform_obligation,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I005,comp_domestic_ai_platform:네이버클라우드 미스트랄ai 제조 ai 동맹 소버린 ai로 글로벌 공략,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,631.5,4,4,5,1,2153,2153,"네이버클라우드 - 미스트랄AI, 제조 AI 동맹 … ‘소버린 AI’로 글로벌 공략",워크투데이,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I006,comp_domestic_ai_platform:네이버클라우드 미스트랄ai와 전방위 파트너십 체결 글로벌 제조ai 수요 공략,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,631.5,4,4,5,1,2143,2143,"네이버클라우드, 미스트랄AI와 전방위 파트너십 체결…""글로벌 제조AI 수요 공략""",더팩트,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I007,comp_domestic_ai_platform:네이버클라우드 미스트랄 ai와 제조 ax 위한 소버린 ai 동맹,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,631.5,4,4,5,1,2139,2139,"네이버클라우드, 미스트랄 AI와 제조 AX 위한 '소버린 AI' 동맹",AI타임스,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I008,comp_domestic_ai_platform:네이버가 인공지능 ai 뮤직 서비스 바이브 vibe 에 새로운 음원 사용료 정산 시스템 vps vibe pa,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,631.5,4,4,5,1,2239,2239,네이버가 인공지능(AI) 뮤직 서비스 바이브(VIBE)에 새로운 음원 사용료 정산 시스템 VPS(VIBE Payment System)를 상반기 도입한다. 이용자가 낸 스트리밍 요금이 실제 들은 음악 저작권자에게만 전달되는 게 핵심이다.,전자신문,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,24.0,business_change,event:네이버:ai_infrastructure_security+copyright_ai,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I009,comp_domestic_ai_platform:네이버 ai탭 확산에 검색 제휴 언론사 생존 시험대,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,631.5,4,4,5,1,2110,2110,네이버 AI탭 확산에 검색 제휴 언론사 생존 시험대,TopStarNews,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I010,comp_domestic_ai_platform:포털 도입 독파모 ai 네이버 검색에 도전장,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,631.5,4,4,5,1,2138,2138,"포털 도입 독파모 AI, 네이버 검색에 도전장",뉴스토마토,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨 / v26.2: overseas structural industry candidate,False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
