kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I037,자사_및_계열사_이슈,4,1792,738,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_regulation:naver:platform_content_moderation_obligation,self_filler_reference,SELF_AFFILIATE_BUSINESS,427.0,"배틀그라운드 e스포츠, 네이버 치지직 연계로 콘텐츠 경쟁력 강화..PNC 첫 시작 | 담합 과징금 863억 떠안은 무림그룹, 재무체력 '시험대'"
selected,2,I039,자사_및_계열사_이슈,5,67,"98,284,96",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,global_incident:mna_capital:kakao:mna_capital,self_governance_mna,SELF_DIRECT_RISK,408.8,"檢, 카카오엔터 김성수 '바람픽쳐스 고가 인수' 무죄 불복 상고 | 檢, 카카오엔터 김성수 '바람픽쳐스 고가 인수' 무죄 불복 상고 | [금융] KB국민은행 부동산 AI 단지분석 / NH농협은행 지수연동예금 출시 / 카카오페이손보 실종 반려동물 찾기 협약 / NH농협캐피탈 청소년 도박 근절 캠페인"
selected,3,I016,정부_국회,5,263,"300,301,2106,2132,2070,2103,2101,2107,2082",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류,global_incident:platform_regulation:coupang:platform_operator_obligation,comp_domestic_direct_risk,COMPETITOR_PLATFORM_RISK,577.0,"쿠팡 과징금 6246억은 시작일 뿐…전방위 규제 리스크 현실화(4부) | 금융당국, 쿠팡페이·쿠팡파이낸셜 제재 착수…연내 완료 목표 | 금융당국, 쿠팡페이·쿠팡파이낸셜 제재 착수…연내 완료 목표"
selected,4,I019,정부_국회,5,348,"361,347,375,422,357,340,353,350,354",로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류,global_incident:ai_security_policy:science_ict_ministry:anthropic_glasswing_security,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,535.0,"과기정통부, 앤트로픽과 맞손…AI 안전·보안 협력 강화 | 과기정통부, 앤트로픽과 AI 안전·보안 협력 동맹 구축 | 과기정통부 앤트로픽과 동맹 추진…""글로벌 AI 안전·보안 협력"""
selected,5,I022,정부_국회,5,420,"471,448,403,396,2485,2503,521,406",로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,500.0,"정부, 오픈AI와 고위험 AI 안전협력 강화 위한 MOU 체결 | ""고위험 AI 안전성 강화""…정부, 오픈AI와 협력 확대 | 오픈AI 이어 앤스로픽까지…정부, AI 협력망 확대"
selected,6,I001,경쟁사_해외이슈,4,1681,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:젠슨황 방한 기획기사 100시간 젠슨 황이 보여준 ai 월드 네이버와 기가와트급 ai 팩토리 전초기지 마련,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"[젠슨황 방한 기획기사-100시간, 젠슨 황이 보여준 AI 월드] ⑤네이버와 기가와트급 AI 팩토리 전초기지 마련"
selected,7,I002,경쟁사_해외이슈,4,1810,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:이주의 관 종 젠슨 황의 ai 팩토리 함께 만든다 네이버의 새로운 발견,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,[이주의 관.종] 젠슨 황의 'AI 팩토리' 함께 만든다…네이버의 새로운 발견
selected,8,I003,경쟁사_해외이슈,4,1813,"1821,610",로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,comp_domestic_finance_commerce:법무법인 광장 공정거래 세미나 네이버 쇼핑 판결 차액가맹금 대법원 판례 집중 분석,comp_domestic_finance_commerce,COMPETITOR_PLATFORM_RISK,662.5,"법무법인 광장 공정거래 세미나, 네이버 쇼핑 판결·차액가맹금 대법원 판례 집중 분석 | 법무법인 광장 공정거래 세미나, 네이버 쇼핑 판결·차액가맹금 대법원 판례 집중 분석 | 법무법인 광장 공정거래 세미나, 네이버 쇼핑 판결·차액가맹금 대법원 판례 집중 분석"
selected,9,I004,경쟁사_해외이슈,4,1759,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_strategy:19만원까지 추락했는데 45만원 간다 엔비디아와 손잡고 재평가 받는 네이버 이주의 관 종,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,650.5,"19만원까지 추락했는데 ""45만원 간다""…엔비디아와 손잡고 재평가 받는 네이버[이주의 관.종]"
selected,10,I005,경쟁사_해외이슈,4,2059,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:ai_security_policy:lguplus:anthropic_glasswing_security,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,648.5,'K글래스윙' AI 보안 연합체 출범… LGU+ 등 27곳 뭉쳤다
