kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I034,자사_및_계열사_이슈,4,94,"447,275",v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버페이 카카오뱅크와 제휴 개인사업자 대출 비교 확대,self_strategic_reference,SELF_AFFILIATE_BUSINESS,514.3,"네이버페이, 카카오뱅크와 제휴…개인사업자 대출 비교 확대 | 네이버페이, 카카오뱅크와 제휴…개인사업자 대출 비교 확대 | 네이버페이, 카카오뱅크와 제휴…개인사업자 대출 비교 확대"
selected,2,I036,자사_및_계열사_이슈,4,97,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버페이 카카오뱅크 제휴로 신용대출 비교 강화 인뱅 3사 비교,self_strategic_reference,SELF_AFFILIATE_BUSINESS,511.3,"네이버페이, 카카오뱅크 제휴로 신용대출 비교 강화…인뱅 3사 비교"
selected,3,I001,정부_국회,5,576,"2380,2400,2283,2373,2211,2231,2303,2371,2367",로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,679.0,"KT, '피지컬 AI 다크팩토리' 구축 나선다…과기정통부 과제 참여 | SKT, 글로벌 보안기업 F5와 AI 클라우드 보안 강화 | KT, 전북 '다크팩토리' 구축 참여…엣지 AI 데이터센터 개발"
selected,4,I029,정부_국회,5,1462,1130,로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류,global_incident:ai_security_policy:toss:anthropic_glasswing_security,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,561.0,"""해커 무기된 미토스 AI""...금융위, PG업권 보안 리스크 점검 | ""해커 무기된 미토스 AI""...금융위, PG업권 보안 리스크 점검"
selected,5,I032,정부_국회,5,380,"2995,2285,2994",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_regulation:platform_sector:platform_data_protection_obligation,self_privacy_security,COMPETITOR_PLATFORM_RISK,539.0,"개인정보위, ISMS-P 심사 개선 시행령 개정안 입법 예고 | 정부 개인정보 인증심사 손질…현장점검 강화·과태료 유예 신설 | ISMS-P 인증심사 강화한다…개인정보위, 시행령 개정안 입법예고"
selected,6,I002,경쟁사_해외이슈,4,2277,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:csk 26 네이버클라우드 ai팩토리에 특파모 심는다 글로벌 보안 연대 거점으로,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"[CSK 26] 네이버클라우드, AI팩토리에 '특파모' 심는다...'글로벌 보안 연대 거점으로'"
selected,7,I003,경쟁사_해외이슈,4,2282,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 데이터센터 유치 나선 김중남 강릉시장 현안 세일즈 광폭 행보,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,네이버 데이터센터 유치 나선 김중남 강릉시장…'현안 세일즈' 광폭 행보
selected,8,I004,경쟁사_해외이슈,4,2286,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 거린에너지 데이터센터용 재생에너지 확보 맞손,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버-거린에너지, 데이터센터용 재생에너지 확보 맞손"
selected,9,I005,경쟁사_해외이슈,4,2299,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 재생에너지 개발사와 맞손 데이터센터 전력 확보,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 亞 재생에너지 개발사와 맞손…데이터센터 전력 확보"
selected,10,I007,경쟁사_해외이슈,4,2307,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 거린에너지와 데이터센터 재생 에너지 공급 협력,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 거린에너지와 데이터센터 재생 에너지 공급 협력"
