kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I012,자사_및_계열사_이슈,4,134,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,self_strategic_reference,SELF_AFFILIATE_BUSINESS,626.3,"글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼]"
selected,2,I023,자사_및_계열사_이슈,4,2140,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,self_filler_reference:네이버클라우드 국방 ax 협력 모델 제시 군이 ai 통제권 갖고 민간기술로 신속 전력화,self_filler_reference,SELF_AFFILIATE_BUSINESS,583.5,"네이버클라우드, 국방 AX 협력 모델 제시 ""군이 AI 통제권 갖고 민간기술로 신속 전력화"""
selected,3,I032,정부_국회,4,2049,"2161,680,2066",로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:platform_regulation:naver:platform_operator_obligation,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,496.0,"강릉시, 국회·네이버 잇달아 방문…현안 해결·디지털 혁신 협력 강화 | 美 ESS 확대에 中 LFP 규제 강화…韓 수혜 기업은? : 네이버 블로그 | JW중외제약, 공정위 299억 과징금 취소소송 승소 : 네이버 블로그"
selected,4,I033,정부_국회,4,362,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,global_incident:platform_regulation:lguplus:platform_regulation,comp_domestic_direct_risk,COMPETITOR_PLATFORM_RISK,479.75,"박정현 의원, 과학기술정보통신부·개인정보보호위원회도 기만한 LGU+ 해킹 강한 질타"
selected,5,I035,정부_국회,4,3880,,v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,government_ai_core_policy:ai 패권 경쟁 자금줄 된 금융권 데이터센터에 조단위 투자,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,453.5,美 AI 패권 경쟁 ‘자금줄’ 된 日금융권…데이터센터에 조단위 투자
selected,6,I001,경쟁사_해외이슈,4,2145,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:코스피 현미경 분석 naver 내년 ai 팩토리 사업 개시로 주가 재도약 발판,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"[코스피 현미경 분석] NAVER, 내년 AI 팩토리 사업 개시로 주가 재도약 발판?"
selected,7,I002,경쟁사_해외이슈,4,2118,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,648.5,선 넘는 AI…오픈AI·앤트로픽서 잇단 이상행동
selected,8,I003,경쟁사_해외이슈,4,2117,2150,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버클라우드 국방 ax 협력 모델 제시 군이 ai 통제권 갖고 민간기술로 신속 전력화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,633.0,"네이버클라우드, 국방 AX 협력 모델 제시 ""군이 AI 통제권 갖고 민간기술로 신속 전력화"" | 네이버클라우드, 국방 AX 협력 모델 제시... ""군이 AI 통제권 갖고 민간기술로 신속 전력화"""
selected,9,I053,산업동향,4,3889,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_overseas_regulation_data:테슬라 제치고 데이터센터가 효자 파나소닉 ai 백업 배터리 매출 ev 역전,comp_overseas_regulation_data,COMPETITOR_PLATFORM_RISK,418.5,"""테슬라 제치고 데이터센터가 효자""… 파나소닉, AI 백업 배터리 매출 EV 역전"
selected,10,I004,경쟁사_해외이슈,4,2075,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 ai 헬스케어 기업 임프리메드 투자 ai 정밀의료 투자 전략,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,631.5,"네이버, AI 헬스케어 기업 ‘임프리메드’ 투자… AI 정밀의료 투자 전략"
selected,11,I005,경쟁사_해외이슈,4,2132,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_public_infra:폐쇄망서 데이터 모델 군이 장악 네이버클라우드 디펜스 ai 로드맵 공개,comp_domestic_public_infra,COMPETITOR_PLATFORM_RISK,631.5,"""폐쇄망서 데이터·모델 군이 장악""…네이버클라우드, '디펜스 AI' 로드맵 공개"
selected,12,I024,자사_및_계열사_이슈,4,1678,"526,3612,3953,314,304",로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,global_incident:platform_regulation:platform_sector:platform_regulation,industry_structural_change,GOV_PLATFORM_REGULATION,575.0,"中企 32개 입법과제 국회로…온플법·계속고용·협상력 제고 요구 | [단독]""싸서 꼭 썼는데"" 동남아 e심, 中통신사?…'개인정보 샜나' 조사 - 머니투데이 | EU 플랫폼 노동자 지침 2026년 발효 — 인력사무소가 지금 당장 해야 할 실무 준비"
selected,13,I034,자사_및_계열사_이슈,4,77,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:sk텔레콤 신한카드 카카오모빌리티 공공 데이터 사업 협력,self_strategic_reference,SELF_AFFILIATE_BUSINESS,469.3,"SK텔레콤·신한카드·카카오모빌리티, 공공 데이터 사업 협력"
