"date","url","title","press","issue_group","canonical_url","event_key","event_stage","title_hash","source_version","final_source"
"2026.6.5","https://biz.sbs.co.kr/amp/article/20000314511","카카오게임즈, 22일 임시주총…공동대표 전환 시동","SBSBiz","카카오게임즈 최대주주 변경 및 공동대표 체제","","","","","",""
"2026.6.5","https://www.seconomy.kr/news/articleView.html?idxno=139744","카카오, 구글 딥마인드 손잡고 AI 콘텐츠 워터마크 도입","공유경제신문","카카오-구글 딥마인드 AI 콘텐츠 워터마크 도입","","","","","",""
"2026.6.5","https://www.yonhapnewstv.co.kr/news/MYH20260604231801STQ","스타벅스 결제액 130억원 줄어…카톡 선물 1위는 탈환","연합뉴스TV","카톡 선물하기 내 스타벅스 교환권/소비 변화","","","","","",""
"2026.6.5","https://www.yna.co.kr/amp/view/AKR20260604139200017","""불법촬영 이미지도 7월부터 '차단 의무'""…방미통위 설명회","연합뉴스","플랫폼 불법촬영 이미지 차단 의무 확대","","","","","",""
"2026.6.5","https://v.daum.net/v/20260605064300584","[AI 3강의 꿈, 중간성적표]①AIDC특별법·GPU 확보 긍정적…부처간 협업은 '지지부진'","v.daum.net","국가 AI 인프라/AIDC/GPU 정책","","","","","",""
"2026.6.5","https://news.nate.com/view/20260605n09878","금융위 안창국 상임위원, 금융안정위 총회…AI도입 등 논의","네이트","금융권 AI 도입 가이드라인/모범사례","","","","","",""
"2026.6.5","https://www.fneyefocus.com/news/articleView.html?idxno=20701","공정위, 이달부터 AI가상모델 표시 의무화…업계도 주의해야","fn아이포커스","AI 가상모델 표시 의무화","","","","","",""
"2026.6.5","https://www.tokenpost.kr/amp/news/cryptocurrency/366382","금융당국, 가상자산 해외 거래 규제 완화… 사업자 자금세탁방지 책임 강화","tokenpost.kr","가상자산 이전거래/AML 규제 조정","","","","","",""
"2026.6.5","https://www.edaily.co.kr/News/Read?newsId=04113126645478768&mediaCodeNo=257","네이버페이, 안드로이드 기기 호환성 오류 긴급 복구 완료… ""앱 업데이트 필요""","이데일리","네이버페이 앱 장애/복구","","","","","",""
"2026.6.5","https://www.inews24.com/view/1974121","[단독]금감원, '쿠팡페이' 제재 절차 돌입…'원아이디' 적정성 쟁점","아이뉴스24","쿠팡페이 제재 절차 돌입","","","","","",""
"2026.6.5","https://www.smartbizn.com/news/articleView.html?idxno=145507","네이버 창작자 지원, AI 검색 활용 영역까지 확대","smartbizn.com","네이버_AI_검색_기능_확대","","","","","",""
"2026.6.5","https://v.daum.net/v/20260605052701536","애플 ""매출상위 앱 100개 중 40개가 AI 탑재…거래액성장률 4배""","v.daum.net","애플_앱스토어_AI_탑재_앱_현황","","","","","",""
"2026.6.5","https://v.daum.net/v/pJV3IfMVka","[AI는 지금] 모델보다 플랫폼…기업 AI 에이전트 전략 바뀐다","v.daum.net","AI 에이전트와 IT 인프라","","","","","",""
"2026.6.8","https://www.yna.co.kr/amp/view/AKR20260608070700017","카카오 파업 예고에 정부 촉각…비상대응체계 점검","연합뉴스","카카오 노조 임단협/파업 및 내부 갈등","","","","","",""
"2026.6.8","https://news.mtn.co.kr/news-detail/2026060812405474516","카카오뱅크, 501조 퇴직연금 시장 진입 채비…AI 연금서비스 검토","MTN 머니투데이방송","카카오뱅크 퇴직연금 시장 진입","","","","","",""
"2026.6.8","https://www.tech42.co.kr/%EC%B1%97gpt%EC%9D%98-%EB%8B%A4%EC%9D%8C-%EB%AA%A9%ED%91%9C%EB%8A%94-%EC%8A%88%ED%8D%BC%EC%95%B1%EC%B9%B4%EC%B9%B4%EC%98%A4%C2%B7%EC%82%BC%EC%84%B1%C2%B7sk%EC%99%80","챗GPT의 다음 목표는 ‘슈퍼앱’…카카오·삼성·SK와 맞물린 오픈AI 한국 전략","테크42","챗GPT의 슈퍼앱 전략 및 오픈AI 한국 전략","","","","","",""
