issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude
I001,global_incident:leadership_service:kakao:leadership_service,self_leadership_service,SELF_DIRECT_RISK,자사_및_계열사_이슈,DIRECT_RISK,,,other,357.5,5,5,5,1,243,243,"(왼쪽부터) 최종원 헥토파이낸셜 대표, 이형주 카카오뱅크 AI그룹장",전자신문,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,로컬 보조 라벨,False,False
I002,국가 AI 인프라/AIDC/GPU 정책,government_ai_core_policy,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,other,350.0,5,4,5,4,265,"265,1996,2621,1695","삼성SDS, 과기정통부 첨단 GPU 사업 선정에 주가 강세 | 170조 유럽 연구기금이 선택한 양자암호···SKT, AI·반도체로 '보안 대중화' 도전 | 가온전선, 오픈AI 데이터센터에 버스덕트 첫 공급…600억 규모 | K-젠슨, 네이버 1784 방문…""GPU는 행복""",디지털데일리 | smartbizn.com | 연합뉴스 | MTN 머니투데이방송,"카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경 / AI 기술이 보안 분야와 융합되는 동향은 카카오가 서비스 안정성 및 보안 강화를 위해 고려해야 할 중요한 이슈임. / AI 서비스 확대에 따른 인프라 투자 증가는 카카오에게도 중요한 전략적 고려 사항이며, 관련 시장 동향 파악이 필요함. / 네이버클라우드의 젠슨 황 CEO 방문 및 협력 발표는 국내 AI 클라우드 시장 경쟁 구도와 엔비디아와의 기술 협력 방향을 보여주며, 이는 카카오 클라우드 사업 및 AI 기술 개발 전략에 중요한 참고 정보가 됩니다.","삼성SDS가 과기정통부 첨단 GPU 사업에 선정되었다는 기사로, 카카오의 사업이나 정책 환경에 직접적인 영향 경로를 설명하기 어렵음. 해당 사업의 성격이나 카카오와의 연관성이 불명확함. / AI 기술이 보안 분야와 융합되는 동향을 보여주며, 카카오의 보안 강화 전략 수립에 참고가 될 수 있으나, 국내 경쟁사 직접 이슈보다는 우선순위가 낮음. / AI 인프라 시장의 투자 동향을 보여주는 사례로, 카카오의 데이터센터 관련 전략 수립에 참고 자료가 될 수 있음. 다만, 직접적인 카카오 관련 이슈는 아니므로 우선순위는 낮음. / 네이버클라우드와 엔비디아의 협력은 국내 AI 시장 경쟁 구도를 파악하는 데 중요하며, 카카오의 AI 전략 수립에 참고",False,False
I003,global_incident:platform_regulation:naver:platform_content_moderation_obligation,comp_domestic_direct_risk,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_DIRECT_RISK,domestic,318.5,4,4,5,1,1794,1794,"일베금지법 완벽정리 처벌부터 위헌 논란까지, 정말 커뮤니티 폐쇄가 가능할까",네이버 프리미엄콘텐츠,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I004,global_incident:platform_regulation:platform_sector:platform_regulation,government_regulatory_enforcement,GOV_PLATFORM_REGULATION,정부_국회,,GOV_REGULATORY_ENFORCEMENT,,other,315.5,4,5,4,5,1453,"1453,675,1607,602,614","“아동·청소년 디지털 성범죄 대응체계 개선 방안 모색”…여성가족부·방통위·경찰청 및 법조·시민사회 모여 플랫폼 규제와 공조 체계 진단:동아경제신문 & daenews.co.kr | 경찰, CU 편의점 택배 개인정보 유출 내사 착수 - 조선비즈 | “딥페이크 공격, 단일 보안으로 못 막아”…가트너의 경고 - 조선비즈 | 산란계협회, 계란값 담합 제재 정부에 반발 | 산란계협회, 과징금불복 소송 예고…""계란값 상승, 수급불안 탓""",동아경제 | Chosunbiz | Chosunbiz | 세계일보 | 네이트,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈 / 카카오 대외협력 관점 간접 참고 / 정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,"아동·청소년 디지털 성범죄 대응체계 개선 방안 모색 기사이나, '여성가족부·방통위·경찰청 및 법조·시민사회 모여'라는 내용에서 카카오가 직접적인 논의 주체로 참여했다는 내용이 없어 카카오에 대한 직접적인 영향 경로를 파악하기 어려움. / v23_category_reassign:government_without_policy_basis / CU 편의점 택배 개인정보 유출 내사 착수 기사이나, 카카오의 서비스나 정책 환경에 직접적인 영향 경로를 설명하기 어려움. 'CU 편의점 택배'라는 특정 사업자에 국한된 이슈로 판단됨. / v23_category_reassign:government_without_policy_basis / 로컬 보조 라벨",False,False
I005,"티빙·CU 개인정보 유출, 쿠팡 제재 수위 주목",개인정보 유출,SELF_INCLUDED_REGULATION,정부_국회,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,259.0,1,1,4,2,2170,"2170,2183",개인정보 유출한 티빙·CU…쿠팡 최종 제재 수위만 기다린다 | 개인정보 유출한 티빙·CU…쿠팡 최종 제재 수위만 기다린다,v.daum.net | 아주경제,"티빙, CU의 개인정보 유출 사고 및 예상되는 제재 수위는 카카오 서비스의 개인정보 관리 강화 필요성을 강조하며, 향후 유사 사고 발생 시 규제 및 사회적 책임을 인지하는 데 중요하다.","개인정보 유출은 카카오와 같은 플랫폼 기업에게 최우선적인 관리 대상이며, 경쟁사의 사례는 경각심을 높이고 대비책 마련에 중요한 참고가 된다.",False,False
I006,global_incident:ai_security_policy:openai:anthropic_glasswing_security,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,253.5,4,3,4,3,2522,"2522,2526,2584","오픈AI, 비공개 IPO 신청…앤트로픽과 상장 경쟁 본격화 - 머니투데이 | 오픈AI도 상장 신청…스페이스X·앤트로픽 이어 'AI IPO 슈퍼사이클' | ""오픈AI·앤트로픽 지분 절반은 국민 것""…美 뒤흔든 초대형 법안 나왔다",머니투데이 | 뉴스1 | 디지털투데이,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,"로컬 보조 라벨 / 미국에서 제안된 '오픈AI·앤트로픽 지분 절반은 국민 것'이라는 법안은 매우 급진적인 제안으로, 현재로서는 카카오의 AI 사업이나 정책 환경에 직접적인 영향 경로를 설명하기 어렵다고 판단됨. 향후 논의 추이를 지켜볼 필요는 있으나, 현재 시점에서는 우선순위가 낮음.",False,False
I007,global_incident:platform_regulation:kakao:platform_regulation,self_strategic_reference,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,,other,253.5,4,3,4,1,139,139,"탭제로, 카카오벤처스서 시드 투자 유치…AI 기반 ‘디지털 트윈’ 롱제비티 플랫폼 고도화",바이오타임즈,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,로컬 보조 라벨,False,False
I008,self_strategic_reference:ai 기반 건강수명 스타트업 탭제로 카카오벤처스 시드 투자 유치,self_strategic_reference,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,,other,253.5,4,3,4,1,140,140,"AI 기반 건강수명 스타트업 '탭제로', 카카오벤처스 시드 투자 유치",전자신문,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,로컬 보조 라벨,False,False
I009,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,250.75,4,3,4,2,2626,"2626,2578","오픈AI도 IPO 신청서 제출…이르면 올 가을 상장 | 스페이스X부터 오픈AI까지, IPO 대기 중인 초대형 비상장 기업들",이데일리TV | 미디어파인,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I010,한양대-카카오 데이터센터 로봇 시연,AI 연계 협력,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,,other,231.25,3,4,2,1,64,64,"한양대 ERICA 로봇공학과, 카카오 데이터센터 안산서 캡스톤 디자인을 통한 제작 로봇 시연",뉴스H,한양대 ERICA 로봇공학과가 카카오 데이터센터 안산에서 캡스톤 디자인을 통해 제작한 로봇 시연을 진행했다고 알림.,"산학 협력 사례이며, AI 기술과의 직접적인 연관성이 약하고 카카오의 주요 정책 결정에 미치는 영향이 적어 우선순위를 낮게 판단함.",False,False
