issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude,v26_max_todayness,v26_article_forms,v26_event_key,v26_2_roundup,v26_2_gov_ok,v26_2_gov_reason,v26_2_market_stock,v26_2_industry_structural,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score
I001,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,STRATEGIC_REFERENCE,OFF_TOPIC,COMP_DOMESTIC_AI_PLATFORM,domestic,735.0,5,5,5,25,2786,"2786,2501,2834,2680,3398,2682,705,2726,205,2462","KT, '부산 클라우드 데이 2026'서 기업 AX 전략 공개 | [기업탐방] 대한항공, “글로벌 데이터센터 건설과 AI 인프라 투자 과정에서 반도체 장비, 서버랙, 배터리, 네트워크 장비 등의 이동이 대규모로 발생” | KT, '부산 클라우드 데이'에서 지역 AX 전략 제시 | SKT, 엔비디아 이어 앤트로픽도 ‘맞손’…“AI 인프라·데이터·보안, ‘날개’ 달았다” | 앤트로픽·구글이 매달 3조 원씩 내는 곳 — 멤피스 콜로서스 실체 분석",아이뉴스24 | 네이버 프리미엄콘텐츠 | 디지털투데이 | CEO스코어데일리 | 네이버 프리미엄콘텐츠,"카카오 엔터프라이즈를 포함한 B2B AI/클라우드 사업 부문에서 경쟁사 KT의 전략을 파악하고 시장 동향을 이해하는 데 중요하다. / 카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈 / 경쟁사의 AI 인프라 및 기술력 강화는 카카오의 AI 사업 전략 수립 및 시장 경쟁 구도에 영향을 미친다. / 글로벌 빅테크 기업들의 대규모 AI 인프라 투자는 AI 기술 경쟁의 심화와 필요한 자원 규모를 보여주며, 카카오의 AI 투자 전략 및 인프라 구축 방향에 대한 전략적 참고가 필요하다. / KT의 AX(AI 전환) 전략 및 클라우드 사업 전개는 카카오의 AI","국내 주요 통신사(플랫폼 경쟁사)인 KT의 기업 AI 전략 발표는 카카오의 B2B AI/클라우드 사업 전략 수립에 참고할 만한 경쟁사 동향임. / 네이버 프리미엄콘텐츠에 게재된 '대한항공' 기업 탐방 기사로, 네이버 자체 서비스나 전략 변화가 아닌 단순 외부 기업 소식임. 카카오에 직접적인 영향 경로가 없음. / 국내 통신 경쟁사인 SKT가 글로벌 AI 핵심 기업들과의 협력을 통해 AI 인프라 및 기술력을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁력에 대한 중요한 경쟁사 동향임. / 앤트로픽과 구글 등 글로벌 주요 AI 기업들의 대규모 인프라 투자는 AI 산업의 전반적인 동향과 경쟁 구도를 이해하는 데 필수적인 정보이며, 카카오의",False,False,24.0,"analysis_feature,business_change,direct_risk,general",event:KT:ai_infrastructure_security+policy_legislation,False,True,public_actor_official_action,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I002,쿠팡 개인정보 유출 과징금,플랫폼 규제 및 리스크,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,612.0,1,1,5,27,2705,"2705,3788,3749,2520,2998,3521,3520,3522,3930,2585","'SKT의 4.6배' 거액 때린 개인정보위 [쿠팡 역대급 과징금] | [속보]개인정보위, 쿠팡에 과징금 6247억원…""3750만명 개인정보 유출"" - 머니투데이 | [개인정보위 쿠팡 제재③] 정보유출만 문제 아니었다…물류센터 자회사도 2억원대 과징금 | [속보] 개인정보위, 쿠팡에 과징금 6249억…역대 최고 | '개인정보유출' 쿠팡 과징금이 세계 최대?…해외선 조단위 제재",v.daum.net | 머니투데이 | 디지털데일리 | 네이트 | 연합뉴스,카카오를 포함한 모든 국내 플랫폼 사업자에게 개인정보보호 의무 강화 및 위반 시 과징금 규모 확대의 강력한 선례가 된다. / 카카오를 포함한 국내 플랫폼 사업자들이 개인정보 유출 시 받을 수 있는 제재의 규모와 국내외 트렌드를 파악하는 데 중요한 자료이다. / 카카오를 포함한 국내 플랫폼 사업자들이 개인정보 유출 시 받을 수 있는 제재의 규모와 그 적용 범위가 자회사까지 확장될 수 있음을 시사한다. / 카카오를 포함한 국내 플랫폼 사업자들이 개인정보 유출 및 무단 수집에 대한 제재의 규모와 범위를 파악하는 데 중요한 자료이다. / 카카오에게 유사 개인정보 유출 사고,국내 주요 플랫폼인 쿠팡의 개인정보 유출 및 역대급 과징금 부과는 카카오의 개인정보 보호 정책 및 규제 대응에 직접적인 영향을 미칠 선례가 됨. / 국내 주요 플랫폼인 쿠팡의 개인정보 유출 및 역대급 과징금 부과는 카카오의 개인정보 보호 정책 및 규제 대응에 직접적인 영향을 미칠 선례가 됨. 자회사에 대한 제재 포함으로 카카오의 계열사 리스크 관리에도 참고. / 국내 주요 플랫폼인 쿠팡의 개인정보 유출 및 역대급 과징금 부과는 카카오의 개인정보 보호 정책 및 규제 대응에 직접적인 영향을 미칠 선례가 됨. 해외 사례와 비교하여 국내 규제 동향의 강도를 파악하는 데 유용. / 쿠팡에 대한 개인정보위의 대규모 과징금 부과는 플랫폼 사업자의 개,False,False,32.0,"analysis_with_direct_risk,official_action",v27:platform_enforcement:coupang:privacy_data_violation,False,True,platform_obligation,False,True,platform_enforcement:coupang:privacy_data_violation,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I003,네이버 사우디 디지털트윈 협력,국내 기업 해외 사업 확장,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,597.0,4,4,2,2,2577,"2577,2648","LX-네이버 이노베이션, 사우디 디지털트윈 행정서비스 개발 협력 | LX-네이버 이노베이션, 사우디 디지털트윈 행정서비스 개발 협력",뉴시스 | 파이낸셜뉴스,경쟁사 네이버의 해외 공공 디지털 인프라 사업 진출 사례를 통해 카카오 엔터프라이즈의 유사 사업 확장 전략 및 글로벌 진출 가능성을 간접적으로 탐색할 수 있다.,"경쟁사 네이버의 해외 디지털 공공 인프라 사업 확장 사례로, 카카오 엔터프라이즈의 사업 전략에 간접적인 참고 가능.",False,False,14.0,general,,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I004,네이버클라우드 국방 AI 전략,국내 기업 AI 전략 및 적용,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,563.0,3,3,3,2,2599,"2599,2614","네이버클라우드, 국방 AX 세미나서 옴니모달·FDE 기반 실전형 국방 AI 구현 방안 공개 | 네이버클라우드, 국방 AX 세미나 개최…실전형 AI 전력화 방안 제시",전자신문 | 이데일리,경쟁사 네이버클라우드의 특정 분야(국방) AI 전략 및 기술 적용 사례를 통해 카카오 엔터프라이즈의 공공/기업 AI 사업 전략 수립에 참고할 수 있다.,"경쟁사 네이버클라우드의 특정 분야(국방) AI 전략 발표로, 카카오 엔터프라이즈의 B2B AI 전략 수립에 참고 가능.",False,False,14.0,business_change,event:네이버:ai_infrastructure_security+policy_legislation,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I005,네이버-엔비디아 AI 동맹,국내외 AI 협력 및 전략,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,mixed,562.5,2,2,4,1,2505,2505,[젠슨 황 릴레이 미팅] 네이버·엔비디아 'AI 동맹'…셈법은 소버린 AI : 네이버 블로그,Naver Blog,경쟁사인 네이버의 AI 동맹 전략은 카카오의 AI 기술 개발 및 파트너십 전략 수립에 참고할 만한 경쟁 구도 변화를 시사한다.,"경쟁사 네이버의 AI 전략 및 주요 파트너십 동향으로, 카카오의 AI 전략 수립에 시사점을 제공함.",False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I006,네이버클라우드 제조 AI 데이터 강조,국내 기업 AI 전략 및 적용,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,561.5,3,3,3,1,2470,2470,"네이버클라우드 ""좋은 AI만으론 제조AX 성공 못 해···데이터가 중요""",시사저널e,경쟁사 네이버클라우드의 산업별 AI 적용 및 데이터 활용 전략을 통해 카카오 엔터프라이즈의 AI 사업 전략 수립 및 기술 개발 방향에 대한 인사이트를 얻을 수 있다.,"경쟁사 네이버클라우드의 산업 AI 전략 및 AI 개발 철학에 대한 언급으로, 카카오 AI 전략 수립에 참고 가능.",False,False,14.0,business_change,event:네이버:ai_infrastructure_security,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=False,bridge=True",2
I007,쿠팡 공정위 과징금 (자사우대/개인정보),쿠팡,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,OFF_TOPIC,COMP_DOMESTIC_DIRECT_RISK,domestic,548.0,1,1,1,4,1118,"1118,1917,2160,1115","쿠팡, 동일인 소송 이어 과징금 폭탄…규제 당국과 법적공방 | 쿠팡, 역대 최대 6247억 과징금...SKT 제재액 5배 | 5억명 털린 메타보다 많다… '개인정보 유출' 쿠팡 6246억 과징금 폭탄 | 쿠팡 ‘자사우대 규제’ 행정소송, 네이버 판결 해석 충돌",네이트 | 한스경제 | 더퍼블릭 | 시사저널e,"국내 주요 플랫폼 경쟁사의 대규모 과징금 부과 및 규제 당국과의 법적 공방은 카카오와 같은 플랫폼 사업자의 규제 환경 변화를 시사하며, 유사 리스크 관리 방안 모색에 참고할 수 있음. / 국내 주요 플랫폼 경쟁사의 역대 최대 과징금 부과는 플랫폼 규제 강화 추세를 명확히 보여주며, 카카오의 시장 전략 및 준법 경영에 대한 선제적 검토를 요구함. / 국내 주요 플랫폼 경쟁사의 대규모 개인정보 유출 과징금은 카카오의 개인정보 보호 및 보안 시스템에 대한 점검과 잠재적 규제 리스크 관리를 위한 중요 참고 자료가 됨. / 쿠팡의 자사우대 규제에 대한 행정소송과 네이버 판결","국내 최대 이커머스 플랫폼인 쿠팡에 대한 역대급 과징금은 플랫폼 사업자에 대한 공정위의 규제 강도를 보여주며, 카카오의 정책 리스크 관리 및 대관 전략에 중요함. / 쿠팡에 대한 역대 최대 과징금은 플랫폼 사업자에 대한 규제 강화 추세를 보여주며, 카카오의 유사 리스크 관리 및 정책 대응에 중요함. / 쿠팡의 대규모 개인정보 유출 과징금은 플랫폼 사업자의 개인정보 보호 의무와 관련된 규제 리스크를 부각하며, 카카오의 개인정보보호 전략에 시사점을 제공함. / 쿠팡의 자사우대 규제 관련 행정소송은 플랫폼 시장 규율의 핵심 쟁점으로, 카카오의 플랫폼 운영 및 정책 대응에 직접적인 영향을 미침. / v23_guardrail_fail:v26_2_",False,False,24.0,"direct_risk,official_action",v27:platform_enforcement:coupang:self_preferencing_algorithm,False,True,platform_obligation,False,True,platform_enforcement:coupang:self_preferencing_algorithm,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I008,쿠팡 개인정보 유출 과징금 부과,플랫폼 규제/제재,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,544.0,1,1,1,2,3572,"3572,3523",'SKT의 4.6배' 거액 때린 개인정보위 [쿠팡 역대급 과징금] | 쿠팡 개인정보 유출 6246억 역대급 철퇴...SKT 3배·메타 7배 과징금에 형평성 논란 예고,파이낸셜뉴스 | 테크M,경쟁사에 대한 역대급 개인정보 유출 과징금은 카카오의 개인정보 보호 책임과 규제 준수 중요성을 강조한다.,국내 주요 경쟁사에 대한 역대급 개인정보 유출 과징금 부과는 카카오의 개인정보보호 리스크 관리 및 규제 준수 노력에 직접적인 영향을 미치는 중요한 정책 집행 사례임. / 국내 주요 경쟁사에 대한 역대급 개인정보 유출 과징금 부과는 카카오의 개인정보보호 리스크 관리 및 규제 준수 노력에 직접적인 영향을 미치는 중요한 정책 집행 사례임. / v23_guardrail_fail:v26_2_government_without_central_public_actor_action:no_public_actor_action_domain,False,False,14.0,official_action,v27:platform_enforcement:coupang:privacy_data_violation,False,True,platform_obligation,False,True,platform_enforcement:coupang:privacy_data_violation,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I009,LGU+ OTT 제휴 프로모션,통신사 서비스 프로모션,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_GENERAL_LOW_RELEVANCE,domestic,533.5,5,5,1,1,2855,2855,"넷플릭스·티빙·유튜브 한 번에…LGU+, OTT 제휴 프로모션 실시",MSN,"직접적인 영향은 미미하나, 통신사의 플랫폼 제휴 전략을 통해 시장 동향을 간접적으로 파악할 수 있다.","카카오의 핵심 사업 영역에 직접적인 경쟁 또는 영향을 미치는 사안이 아니며, 단순 제휴 프로모션으로 중요도가 낮음. / v23_guardrail_fail:simple_mou_pr_or_low_materiality",False,True,24.0,general,,False,False,no_public_actor_action_domain,False,True,,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
I010,쿠팡_개인정보_유출_과징금_및_플랫폼_데이터_리스크,플랫폼_개인정보_유출_규제,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,OFF_TOPIC,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,528.0,1,1,1,16,2603,"2603,2602,2616,3075,2628,2507,2746,3073,2713,2519","쿠팡Inc, 개인정보위 과징금에 불복… “서울행정법원에 행정소송” | 쿠팡, 개보위 6246억원 과징금에 “법적 절차로 사실관계 규명 기대” | [속보] 개인정보위, 쿠팡에 과징금 6249억원 부과…역대 최고 과징금 '철퇴' | '개인정보 유출' 쿠팡, 6247억 과징금…SKT 넘어 역대 최대 | 쿠팡 사태에 쏠린 눈...개보위, 13시간 심의 끝 역대 최대 과징금 내린 배경은",전자신문 | 전자신문 | 이데일리 | 뉴스1 | 매일경제,대규모 개인정보 유출에 대한 규제 기관의 강도 높은 제재는 카카오를 포함한 모든 플랫폼 사업자의 개인정보 관리 및 보안 시스템 강화 필요성을 시사함.,"국내 주요 경쟁사의 대규모 개인정보 유출에 대한 역대급 과징금으로, 플랫폼 사업자 전반의 개인정보 보호 의무 및 규제 환경에 대한 중요한 선례가 됨.",False,False,24.0,official_action,v27:platform_enforcement:coupang:privacy_data_violation,False,True,platform_obligation,False,True,platform_enforcement:coupang:privacy_data_violation,True,"industry_basis_pass:actor=True,change=True,bridge=True",3
