kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I010,자사_및_계열사_이슈,4,2309,"2317,94,2225,2227,2329,2425,2353,2363,2349",로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,657.0,"[AI프리즘] ""통신사, AI 인프라 사업자로 진화""…SKT 주목 | 막대한 AI 인프라 투자 규모…GSMA가 SKT 주목한 이유 | 전 국민 무료 AI 사업자에 SKT·KT·카카오 확정…엔비디아 B200 512장 배정"
selected,2,I044,자사_및_계열사_이슈,4,2203,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,self_filler_reference:김진휘 네이버클라우드 전무 보안특화 ai 독파모 보안 산업과 연동해 해외까지,self_filler_reference,SELF_AFFILIATE_BUSINESS,583.5,"김진휘 네이버클라우드 전무 “보안특화 AI 독파모, 보안 산업과 연동해 해외까지”"
selected,3,I043,정부_국회,5,603,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:과기정통부 lg 네이버 클라우드 투입해 국가 보안 특화 ai 구축 착수,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,588.5,"과기정통부, LG·네이버 클라우드 투입해 국가 보안 특화 AI 구축 착수"
selected,4,I053,정부_국회,4,2222,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_public_infra:이스트시큐리티 네이버클라우드와 정부 ai 사업 참가,comp_domestic_public_infra,COMPETITOR_PLATFORM_RISK,534.5,"이스트시큐리티, 네이버클라우드와 정부 AI 사업 참가"
selected,5,I055,정부_국회,5,766,"2604,2573,924",로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,COMPETITOR_AI_STRATEGY,508.0,"공정위, 쿠팡 맴버십 끼워팔기도 심의 | 쿠팡·티빙 이어 위버스, 또 개인정보 털렸다...방시혁 송치 악재에 ‘설상가상’ [종합] | 쿠팡·티빙·위버스까지 줄줄이 털렸다…플랫폼 보안, 왜 반복되나"
selected,6,I001,경쟁사_해외이슈,4,2095,2287,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:브룩필드 네이버 ai 팩토리 전략적 파트너십 공식화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,668.0,"브룩필드, 네이버 AI 팩토리 '전략적 파트너십' 공식화 | 브룩필드, 네이버 AI 팩토리 '전략적 파트너십' 공식화"
selected,7,I002,경쟁사_해외이슈,4,2219,2216,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 사우디 데이터센터 첫 손님 ai 사업 확대,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,668.0,"네이버, 사우디 데이터센터 '첫 손님'…AI 사업 확대 | 네이버, 사우디 데이터센터 ‘첫 손님’…AI 사업 확대"
selected,8,I003,경쟁사_해외이슈,4,2162,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 ai 팩토리 투자 3배 키운다 브룩필드 엔비디아와 100억달러 협력 본격화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,‘네이버 AI 팩토리’ 투자 3배 키운다...브룩필드·엔비디아와 100억달러 협력 본격화
selected,9,I215,산업동향,3,3599,,로컬 보조 라벨,global_incident:platform_regulation:platform_sector:delivery_app_fee_policy,industry_structural_change,INDUSTRY_STRUCTURAL_CHANGE,186.5,"경기도의회 송연섭·한영수 의원, 공공배달앱 이용자 확대, 하반기 마케팅 역량 집중해야"
selected,10,I004,경쟁사_해외이슈,4,2117,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:브룩필드 네이버 엔비디아와 한국 소버린 ai 팩토리 협력 공식화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"브룩필드, 네이버·엔비디아와 한국 소버린 AI 팩토리 협력 공식화"
selected,11,I006,경쟁사_해외이슈,4,2151,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 ai 팩토리 힘 싣는 브룩필드 전략적 파트너십 성과로 명시,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,네이버 AI 팩토리 힘 싣는 브룩필드…전략적 파트너십 성과로 명시
selected,12,I054,자사_및_계열사_이슈,4,2164,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,self_strategic_reference:네이버는 6년 전 선보인 유료 멤버십 카카오 이제서야 출시 나선 속내는,self_strategic_reference,SELF_AFFILIATE_BUSINESS,511.3,"네이버는 6년 전 선보인 유료 멤버십… 카카오, 이제서야 출시 나선 속내는"
selected,13,I056,자사_및_계열사_이슈,5,445,"282,444,312,178,265,118,161,264,316",v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,global_incident:leadership_service:kakao:leadership_service,self_strategic_reference,SELF_AFFILIATE_BUSINESS,477.3,"2026 글로벌 모빌리티 콘퍼런스가 '혁신을 일상으로: 적응의 시대를 이끄는 혁신'을 주제로 7일 서울 중구 웨스틴조선서울호텔에서 열렸다. 류긍선 카카오모빌리티 대표가 '자율주행 기술을 일상의 이동으로'를 주제로 기조연설을 하고 있다. 김민수기자 mskim@etnews | 류긍선 카카오모빌리티 대표 ""자율주행, 도시 단위 운영으로 봐야"" | 류긍선 카카오모빌리티 대표 ""자율주행, 수백대 운영 능력으로 평가해야"""
