kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I113,자사_및_계열사_이슈,5,5,"926,52,49,39,50,25,36,48,37",로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 카카오 창사 첫 노조 파업과 이에 따른 주가 하락은 회사 운영 및 기업 이미지에 직접적인 영향을 미치는 중대 리스크이다. / v23_guardrail_fail:v26_2_market_stock_commentary_excluded,카카오 노조 임단협/파업 및 내부 갈등,노사 관계,SELF_DIRECT_RISK,191.8,"네이버·SKT, 엔비디아와 AI 협력…카카오 첫 파업[뉴스잇(IT)쥬] | 네이버·SKT, 엔비디아와 AI 협력…카카오 첫 파업[뉴스잇(IT)쥬] | [속보] 카카오 노조 ""이달 29일 또 파업한다"""
selected,2,I009,경쟁사_해외이슈,5,1151,"1160,1167,380,1033,977,1106,1166,1159,1168",로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,쿠팡 개인정보 유출 과징금,플랫폼 규제,COMPETITOR_PLATFORM_RISK,528.0,"쿠팡 과징금, 세계 최대?…개인정보위 ""메타 50억달러 사례 있다"" | 쿠팡 과징금, 세계 최대?…개인정보위 ""메타 50억달러 사례 있다"" | 개인정보위, 쿠팡에 6246억 과징금 부과…역대 최대 규모"
selected,3,I001,경쟁사_해외이슈,5,70,"72,69","[69]와 동일 이슈의 반복 기사로, 더 구체적인 서비스명이 언급되었으나 핵심 내용은 같다. / v23_category_reassign:v26_2_self_without_direct_kakao_entity / [69]와 동일 기사 / v23_category_reassign:v26_2_self_without_direct_kakao_entity / 로컬 보조 라벨",미국 정부 앤트로픽 AI 서비스 해외 접속 금지,해외 AI 기업 규제,COMPETITOR_PLATFORM_RISK,584.5,"해외 사용자들 날벼락…미 정부, 앤트로픽 `페이블5·미토스5` 외국인 접속 전면 금지 | 美정부, 앤트로픽 AI '미토스' 외국인 접속 금지 | 美정부, '미토스' 해외접속 금지…앤트로픽, 서비스 전면중단"
selected,4,I019,경쟁사_해외이슈,4,1327,1315,[1315]와 동일 이슈의 반복 기사. / 로컬 보조 라벨,"오픈AI, 미국 주정부로부터 조사 착수",해외 빅테크 AI 규제,COMPETITOR_PLATFORM_RISK,431.0,"OpenAI, 다수 주 법무장관 조사에 소환장 받아 (WSJ) | 미국의 여러 주에서 OpenAI를 조사하고 있습니다."
selected,5,I140,정부_국회,4,105,89,로컬 보조 라벨 / v26.2: overseas structural industry candidate / v34_domestic_government_policy_forced_to_gov / v34_domestic_government_policy_forced_to_gov / v34_domestic_government_policy_forced_to_gov,과기정통부-방통위 AI/OTT/플랫폼 정책 공조,정부 AI/플랫폼 정책,GOV_AI_DIGITAL_POLICY,144.0,"과기정통부·방미통위, AI·OTT·플랫폼 정책 공조 본격화 | 방미통위·과기정통부 정책협의회 출범…AI 데이터 공유"
selected,6,I098,정부_국회,3,177,"99,86",로컬 보조 라벨 / v26.2: overseas structural industry candidate,미토스 수출통제 및 한국 글래스윙 참여 제동,AI 반도체/클라우드 정책,COMPETITOR_PLATFORM_RISK,226.5,"미토스 수출통제에 한국 '글래스윙' 참여 제동…정부 ""파악 중"" | 미토스 수출통제에 韓 '글래스윙' 참여도 불똥…정부 ""파악 중"" | 미토스 수출통제에 한국 '글래스윙' 참여 제동…정부 ""파악 중"""
selected,7,I056,경쟁사_해외이슈,3,1243,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,Global_AI_Customer_Targeting_Strategy,글로벌 AI 전략,COMPETITOR_AI_STRATEGY,308.5,[AI 프리즘] 오픈AI “돈 되는 기업” vs 애플과 구글 “수십억 개인 소비자”… 갈라진 AI 고객 타겟
selected,8,I102,자사_및_계열사_이슈,2,31,"1005,1005",카카오가 포함된 샘 올트먼 방한 일정이 연기되어 AI 전략 및 파트너십 논의에 영향을 줄 수 있다. / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,샘 올트먼 방한 연기,카카오 AI,SELF_AFFILIATE_BUSINESS,221.3,샘 올트먼 방한 연기…삼성·네이버·카카오 회동 순연 | 오픈AI 샘 올트먼 방한 연기…삼성·네이버 등과 회동 취소
selected,9,I128,정부_국회,3,74,,로컬 보조 라벨 / v34_domestic_government_policy_forced_to_gov / v34_domestic_government_policy_forced_to_gov / v34_domestic_government_policy_forced_to_gov,데이터센터 전자파 공모전,데이터센터 정책,GOV_AI_DIGITAL_POLICY,163.5,"AI 시대 데이터센터 전자파 바로 알린다…과기정통부, 공모전 개최"
selected,10,I002,경쟁사_해외이슈,3,111,"1023,942,1014,1031,1042","로컬 보조 라벨 / v26.2: overseas structural industry candidate / 국내 주요 통신사의 대규모 AIDC 구축 및 조기 완판 소식은 국내 AI 인프라 시장의 동향과 AI 사업 경쟁 구도에 대한 중요한 정보를 제공하므로 카카오 AI 전략 수립에 필수적인 참고자료다. / 국내 주요 통신사의 AI 사업 전략 확산 소식으로, 국내 B2B AI 시장 경쟁 동향에 대한 중요 정보. / 국내 주요 AI 경쟁사의 해외 기업과의 AI 생태계 확장 협력은 카카오의 AI 전략에 중요한 참고 자료가 된다. / AI 데이터센터 인프라 관련 내용이지만, 특정 산업재 기업의 수혜에 대한 기사로 카카오의 대외협력·정책리스크팀이 직",국가 AI 인프라/AIDC/GPU 정책,AI 전략,COMPETITOR_AI_STRATEGY,540.0,"미토스 수출통제에 한국 '글래스윙' 참여 제동…정부 ""파악 중"" | AI 거물들 잇는 SKT…글로벌 협력망 확대 | 교보증권 ""네이버, 엔비디아와 손잡고 20조 시장 승부수…AI 팩토리 폭풍 온다"""
